SUM of Value,,Year,,,,,,,,,,,,,,
Country Code,Metric,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,People in need,,,,,,,,,,"40,600,000",,"1,913,667","303,804","1,218,729","1,864,821"
,People targeted,,,,,,,,,,,"1,534,832",,,,
AFG,People in need,"58,650,000",,,,,,"18,400,000",,,,,,"30,082,953","37,076,810","30,966,389"
,People targeted,"22,000,000",,,,,,,,,,,,,,
BDI,People in need,,"7,414,000","4,013,000",,,,,,,,,"2,807,830","1,795,961","2,666,886",
BEN,People in need,,"3,000,000",,,,,,,,,,,,,
BFA,People in need,,"9,754,148",,,,,,,,,,"3,533,773","4,889,324","4,648,210","6,300,000"
,People targeted,"3,500,000","3,500,000",,,,,,,,,,,,,
BGD,People in need,"2,500,000","21,380,000",,,,,,,,,,,,,
CAF,People in need,,,"13,900,000","2,900,000","2,600,000",,,,,,,"2,800,000","3,053,039","3,426,462","2,801,810"
,People targeted,,,"5,141,183",,,,,,,,,,,,
CIV,People targeted,,,,"1,143,502",,,,,,,,,,,
CMR,People in need,,"13,970,000","3,400,000","10,500,000",,,,,,,,"4,406,243","3,934,444","4,700,311","3,369,526"
COD,People in need,,,,"42,500,000","941,000","39,868,000",,,,,,"21,568,167","28,243,244","27,797,509","27,256,000"
,People targeted,,,,"27,510,000",,,,,,,,,,,
COG,People in need,,,,,,,,"166,000",,,"1,700,000",,,,
COL,People in need,,,,,"10,400,000",,,,,,,"6,731,041","7,693,945","7,711,265","8,307,129"
CUB,People in need,,,,"9,485,235",,,,,,,,,"1,090,000",,
DJI,People in need,,,,,"1,171,417","1,150,000","150,000",,,,,,,,
,People targeted,,,,,"626,000",,,,,,,,,,
ECU,People in need,,,,,,,"9,000,000",,,,,,,,
ETH,People in need,,,,,"29,500,000",,"28,100,000",,,,,,"20,000,000","28,600,000","21,360,484"
GMB,People in need,,,,"1,037,961",,,,,,,,,,,
GTM,People in need,,,,,"1,500,000",,,,,,,"3,800,000","3,800,000","5,000,000","5,300,000"
HND,People in need,,,,,"1,400,000",,,,,,,"5,100,000","2,800,000","3,200,000","2,800,000"
HTI,People in need,,,,,"7,917,000",,"13,500,000",,,,,"4,400,000","6,496,979","5,200,000","5,500,000"
,People targeted,,,,,"3,288,000","900,000",,,,,,,,,
IDN,People in need,,,,,,"1,500,000",,,,,,,,,
IRN,People in need,,,,,,,,"2,000,000","40,100,000",,,,,,
IRQ,People in need,,,,,,"44,100,000",,,"10,800,000",,,"4,100,000","2,454,198",,
JOR,People in need,,,,,,,,,"1,400,000",,,,,,
KEN,People in need,,,,,,,,,"13,840,000",,,,"4,460,065","6,446,835",
,People targeted,,,,,,"6,081,500",,,,,,,,,
LBN,People in need,,,,,,,,,"7,000,000",,,,"2,500,000","3,909,222",
LBR,People in need,,,,,,,,,"4,440,000",,,,,,
,People targeted,,,,,,"200,245",,,,,,,,,
LBY,People in need,,,,,,"5,131,302",,,"1,823,000",,,"1,250,662","803,587","883,937","250,000"
LKA,People in need,,,,,,,,,,,,,"6,992,137",,
LSO,People in need,,,,,,,,,"500,000",,,,,,
MDG,People in need,,,,,,,,,,"890,000",,"1,590,000","3,300,000","3,897,188","2,295,813"
MLI,People in need,,,,,,,"14,400,000",,,"10,000,000",,"5,917,269","7,522,833","8,782,254","7,107,194"
,People targeted,,,,,,,"10,803,226",,,,,,,,
MMR,People in need,,,,,,,"3,400,700",,,"1,901,000",,"1,035,782","15,829,198","19,135,503","20,140,021"
MNG,People in need,,,,,,,,,,,,,,"213,000",
MOZ,People in need,,,,,,,,,,"10,400,000",,"1,326,777","2,133,310","2,986,482","2,252,973"
MRT,People in need,,,,,,,"2,692,000",,,,,,,,
,People targeted,,,,,,"1,248,472",,,,,,,,,
MWI,People in need,,,,,,,,,,,,,"679,919","5,858,113",
NER,People in need,,,,,,,"14,900,000",,,,"6,000,000","3,821,659","3,654,445","4,319,484","4,500,000"
,People targeted,,,,,,,"9,827,000",,,,,,,,
NGA,People in need,,,,,,,"35,100,000","8,993,473",,,"17,700,000","8,700,000","8,364,426","8,300,000","7,900,000"
NPL,People in need,,,,,,,"2,800,000",,,,,"4,900,000",,,
PAK,People in need,,,,,,,,"6,100,000",,,"6,710,000","11,000,000","20,605,258","20,605,258",
PHL,People in need,,,,,,,,"3,259,000",,,"39,000,000",,"2,400,000",,
,People targeted,,,,,,,,"1,100,000",,,,,,,
PRK,People in need,,,,"28,300,000",,"21,300,000",,,,,,,,,
PSE,People in need,,,,,,,,"10,600,000",,,"4,900,000","2,400,000","2,075,542","3,100,000","2,700,000"
,People targeted,,,,,,,,"6,114,398",,,,,,,
SDN,People in need,,,,,,,,,"23,000,000",,"17,900,000","13,446,501","14,257,653","25,261,639","28,072,305"
,People targeted,,,,,,,,,"15,050,000",,,,,,
SEN,People in need,,,,,,,,"9,515,461",,,,,,,
SLV,People in need,,,,,,,,,,,,"1,700,000","1,700,000","1,115,122","1,100,000"
SOM,People in need,,,,,,,,"3,180,000","20,200,000",,"9,400,000","5,932,722","7,846,888","8,250,301","6,869,716"
,People targeted,,,,,,,,"6,356,404","3,810,000",,,,,,
SSD,People in need,,,,,,,,,"34,469,409",,"17,420,000","12,415,533","11,433,346","13,245,100","13,619,715"
,People targeted,,,,,,,,,"6,587,000",,,,,,
SYR,People in need,,,,,,,,,"36,500,000","58,703,877","38,400,000","23,316,142","34,672,376","28,823,714","32,500,000"
,People targeted,,,,,,,,,,"12,100,000",,,,,
TCD,People in need,,,"17,770,000",,"10,700,000",,,,,,,"5,496,653","6,149,509","7,672,650","5,800,000"
,People targeted,,,"9,472,310",,,,,,,,,,,,
TGO,People in need,,,,,,,,,,,"3,500,000",,,,
TUR,People in need,,,,,,,,,,,,,,0,
TZA,People in need,,,,,,,,,,,"11,100,000",,,,
UGA,People in need,,,,,,,,,,,"13,570,000",,,,
UKR,People in need,,,,,,,,,,"11,700,000",,"10,300,000","22,886,744","21,604,676","16,867,301"
VEN,People in need,,,,,,,,,,,,"37,903,586","15,859,400","16,179,814","16,260,421"
YEM,People in need,,,,,,,,,,"70,600,000","22,363,980","69,100,000","23,458,603","21,640,000","18,182,658"
,People targeted,,,,,,,,,,,"17,616,675",,,,
ZMB,People in need,,,,,,,,,,,,"9,790,000",,,
ZWE,People in need,,,,,,,,,,"4,300,000",,"19,600,000",,,
,People targeted,,,,,,,,,,"14,259,084",,,,,